,Title,Year,Rating,Link,Budget,Gross,Net,Date
84,  13B: Fear Has a New Address,2009,7.3,/title/tt1385824/,,2482072.0,,2009-03-06
85,  Book of Blood,2009,5.2,/title/tt1169809/,6000000.0,567723.0,-5432277.0,2009-05-08
86,  The Last House on the Left,2009,6.5,/title/tt0844708/,15000000.0,45995223.0,30995223.0,2009-03-13
87,  Drag Me to Hell,2009,6.6,/title/tt1127180/,30000000.0,90842646.0,60842646.0,2009-05-29
88,  Vampire Killers,2009,5.1,/title/tt1020885/,,3276702.0,,2009-03-20
89,  Laid to Rest,2009,5.2,/title/tt1228933/,,,,2009-03-18
90,  The Haunting in Connecticut,2009,5.8,/title/tt0492044/,10000000.0,77578320.0,67578320.0,2009-03-27
91,  Blood: The Last Vampire,2009,5.2,/title/tt0806027/,30000000.0,5874530.0,-24125470.0,2009-06-04
92,  Night Train (I),2009,5.7,/title/tt1020055/,,,,2009-07-07
93,  Tell Tale,2009,5.4,/title/tt1135095/,12000000.0,367586.0,-11632414.0,2009-12-31
94,  The House of the Devil,2009,6.3,/title/tt1172994/,900000.0,101215.0,-798785.0,2009-04-25
95,  Thirst,2009,7.1,/title/tt0762073/,5000000.0,13085023.0,8085023.0,2009-04-30
96,  The Grudge 3,2009,4.6,/title/tt1053859/,5000000.0,1869127.0,-3130873.0,2009-06-02
97,  Hunger (I),2009,5.2,/title/tt1176252/,625000.0,,,2009-05-15
98,  Don't Look Back,2009,5.8,/title/tt1075113/,13520000.0,2651917.0,-10868083.0,2009-06-03
99,  Antichrist,2009,6.5,/title/tt0870984/,11000000.0,7413863.0,-3586137.0,2009-05-20
100,  Tormented (I),2009,5.1,/title/tt1100053/,847000.0,1362653.0,515653.0,2009-05-22
101,  The Devil's Tomb,2009,3.7,/title/tt1147687/,10000000.0,220925.0,-9779075.0,2009-10-24
102,  The Hills Run Red,2009,5.4,/title/tt0907676/,,,,2009-09-29
103,  Doghouse,2009,6,/title/tt1023500/,4000000.0,179836.0,-3820164.0,2009-06-12
104,  High Lane,2009,5.6,/title/tt1433562/,2464800.0,2141798.0,-323002.0,2009-06-24
105,  Exam,2009,6.8,/title/tt1258197/,,394717.0,,2010-06-17
106,  Infestation,2009,5.8,/title/tt1020543/,3500000.0,36756.0,-3463244.0,2009-11-28
107,  Dread,2009,5.6,/title/tt1331307/,,97438.0,,2009-10-30
108,  Possession (I),2009,5.5,/title/tt0368563/,,694193.0,,2009-07-16
109,  Orphan,2009,7,/title/tt1148204/,20000000.0,77912251.0,57912251.0,2009-07-24
110,  The Collector (I),2009,6.3,/title/tt0844479/,6000000.0,10234475.0,4234475.0,2009-07-31
111,  Case 39,2009,6.2,/title/tt0795351/,26000000.0,28190603.0,2190603.0,2010-10-01
112,  The Revenant (I),2009,6.3,/title/tt1336006/,,,,2012-08-24
113,  Cabin Fever 2: Spring Fever,2009,4.3,/title/tt0961722/,5000000.0,,,2009-09-23
114,  The Descent: Part 2,2009,5.7,/title/tt1073105/,,7048886.0,,2009-12-02
115,  Forget Me Not (II),2009,5.1,/title/tt1147684/,1300000.0,,,2011-08-03
116,  The Final Destination,2009,5.1,/title/tt1144884/,40000000.0,186167139.0,146167139.0,2009-08-28
117,  The Horde,2009,5.9,/title/tt1183276/,2964000.0,,,2010-02-10
118,  Halloween II,2009,4.8,/title/tt1311067/,15000000.0,39421467.0,24421467.0,2009-08-28
119,  The Thaw,2009,5.2,/title/tt1235448/,,149857.0,,2010-09-29
120,  Night of the Demons,2009,4.6,/title/tt1268809/,10000000.0,64040.0,-9935960.0,2011-05-26
121,  The Human Centipede (First Sequence),2009,4.4,/title/tt1467304/,1560000.0,325113.0,-1234887.0,2010-04-28
122,  Heartless (I),2009,5.9,/title/tt1220214/,5000000.0,20435.0,-4979565.0,2010-11-19
123,  [Rec]²,2009,6.5,/title/tt1245112/,5600000.0,18853164.0,13253164.0,2009-10-02
124,  Survival of the Dead,2009,4.8,/title/tt1134854/,4000000.0,386078.0,-3613922.0,2010-05-06
125,  Sorority Row,2009,5.1,/title/tt1232783/,12500000.0,27206120.0,14706120.0,2009-09-11
126,  Jennifer's Body,2009,5.4,/title/tt1131734/,16000000.0,31556061.0,15556061.0,2009-09-18
127,  Daybreakers,2009,6.4,/title/tt0433362/,20000000.0,51417188.0,31417188.0,2010-01-08
128,  The Loved Ones,2009,6.6,/title/tt1316536/,,358399.0,,2010-11-04
129,  Solomon Kane,2009,6.1,/title/tt0970452/,45000000.0,19652185.0,-25347815.0,2012-08-24
130,  Blood Creek,2009,5.3,/title/tt0450336/,,211398.0,,2009-10-09
131,  Amer,2009,6.1,/title/tt1426352/,915200.0,,,2010-03-03
132,  Zombieland,2009,7.6,/title/tt1156398/,23600000.0,102392080.0,78792080.0,2009-10-02
133,  Pandorum,2009,6.7,/title/tt1188729/,33000000.0,20648328.0,-12351672.0,2009-09-25
134,  Wake Wood,2009,5.5,/title/tt1296899/,,10342.0,,2011-03-25
135,  Deadline (I),2009,4.6,/title/tt1242618/,1800000.0,,,2010-01-29
136,  Splice,2009,5.8,/title/tt1017460/,30000000.0,27127620.0,-2872380.0,2010-06-04
137,  Where the Wild Things Are,2009,6.7,/title/tt0386117/,100000000.0,100140916.0,140916.0,2009-10-16
138,  Stan Helsing,2009,3.5,/title/tt1185266/,,1475003.0,,2010-03-25
139,  Saw VI,2009,6,/title/tt1233227/,11000000.0,68234154.0,57234154.0,2009-10-23
140,  The Fourth Kind,2009,5.9,/title/tt1220198/,10000000.0,47719794.0,37719794.0,2009-11-06
141,  Nine Dead,2009,5.4,/title/tt0959329/,2000000.0,,,2009-11-06
142,  The New Daughter,2009,5.3,/title/tt0951335/,15000000.0,579626.0,-14420374.0,2010-10-07
143,  Rammbock: Berlin Undead,2010,6.3,/title/tt1583356/,,12699.0,,2011-05-04
144,  Legion,2010,5.2,/title/tt1038686/,26000000.0,67918658.0,41918658.0,2010-01-22
145,  7 Days,2010,6.5,/title/tt0445054/,2550000.0,1259.0,-2548741.0,2010-11-12
146,  Tucker and Dale vs Evil,2010,7.5,/title/tt1465522/,,5224938.0,,2010-12-09
147,  Where? Wolf?,2010,2.9,/title/tt1570619/,,5073304.0,,2010-01-22
148,  YellowBrickRoad,2010,4.7,/title/tt1398428/,500000.0,,,2010-01-23
149,  The Wolfman,2010,5.8,/title/tt0780653/,150000000.0,139789765.0,-10210235.0,2010-02-12
150,  The Final (I),2010,5.3,/title/tt1390535/,1000000.0,28491.0,-971509.0,2013-02-07
151,  Dante's Inferno: An Animated Epic,2010,6.5,/title/tt1401113/,,,,2010-02-09
152,  The Crazies,2010,6.5,/title/tt0455407/,20000000.0,54806823.0,34806823.0,2010-02-26
153,  Birdemic: Shock and Terror,2010,1.7,/title/tt1316037/,10000.0,,,2010-02-27
154,  A Serbian Film,2010,5,/title/tt1273235/,,1541.0,,2010-06-16
155,  6 Souls,2010,6,/title/tt1179069/,22000000.0,3205167.0,-18794833.0,2013-03-01
156,  Dream Home,2010,6.6,/title/tt1407972/,,383158.0,,2010-05-13
157,  A Nightmare on Elm Street,2010,5.2,/title/tt1179056/,35000000.0,115695182.0,80695182.0,2010-04-30
158,  I Spit on Your Grave,2010,6.2,/title/tt1242432/,2000000.0,1278650.0,-721350.0,2010-06-17
159,  Chatroom,2010,5.4,/title/tt1319704/,,683912.0,,2010-12-22
160,  Bedevilled,2010,7.3,/title/tt1646959/,700000.0,1129687.0,429687.0,2010-09-02
161,  Rubber,2010,5.7,/title/tt1612774/,500000.0,101729.0,-398271.0,2010-11-10
162,  La casa muda,2010,5.3,/title/tt1646973/,6000.0,1149327.0,1143327.0,2011-03-04
163,  The Reef,2010,5.8,/title/tt1320291/,,67753.0,,2011-03-17
164,  Black Death,2010,6.4,/title/tt1181791/,,382879.0,,2010-06-11
165,  The Last Exorcism,2010,5.7,/title/tt1320244/,1800000.0,69432527.0,67632527.0,2010-08-27
166,  Bereavement,2010,5,/title/tt1100051/,3600000.0,43712.0,-3556288.0,2010-07-16
167,  The Clinic (II),2010,5.3,/title/tt1345772/,,,,2012-07-25
168,  The Shrine,2010,5.5,/title/tt1341710/,1125000.0,102344.0,-1022656.0,2010-10-14
169,  Rare Exports,2010,6.6,/title/tt1401143/,2025920.0,4087363.0,2061443.0,2010-12-03
170,  Burning Bright,2010,5.8,/title/tt1244658/,,58147.0,,2012-05-02
171,  Vampires Suck,2010,3.4,/title/tt1666186/,20000000.0,80547866.0,60547866.0,2010-08-18
172,  Piranha 3D,2010,5.5,/title/tt0464154/,24000000.0,83188165.0,59188165.0,2010-08-20
173,  Devil's Playground,2010,5.1,/title/tt1453245/,2400000.0,,,2011-09-25
174,  Hatchet II,2010,5.4,/title/tt1270835/,800000.0,156190.0,-643810.0,2010-11-25
175,  Primal,2010,4.8,/title/tt1438534/,,,,2010-09-23
176,  The Tortured,2010,5.4,/title/tt1017464/,8500000.0,319421.0,-8180579.0,2012-09-28
177,  The Dead,2010,5.7,/title/tt1386925/,,4891.0,,2011-10-01
178,  Resident Evil: Afterlife,2010,5.8,/title/tt1220634/,60000000.0,300228084.0,240228084.0,2010-09-10
179,  The Last Circus,2010,6.5,/title/tt1572491/,7280000.0,3604598.0,-3675402.0,2010-12-17
180,  Los ojos de Julia,2010,6.7,/title/tt1512685/,5200000.0,16934369.0,11734369.0,2010-10-29
181,  Vanishing on 7th Street,2010,4.9,/title/tt1452628/,10000000.0,1671196.0,-8328804.0,2011-02-05
182,  Let Me In (I),2010,7.1,/title/tt1228987/,20000000.0,27093592.0,7093592.0,2010-10-01
183,  The Ward,2010,5.5,/title/tt1369706/,10000000.0,5343820.0,-4656180.0,2011-07-08
184,  Insidious (I),2010,6.8,/title/tt1591095/,1500000.0,100106454.0,98606454.0,2011-04-01
185,  Devil,2010,6.3,/title/tt1314655/,10000000.0,62695489.0,52695489.0,2010-09-17
186,  Stake Land,2010,6.4,/title/tt1464580/,650000.0,405380.0,-244620.0,2011-06-17
187,  Chain Letter,2010,4.1,/title/tt1148200/,3000000.0,855185.0,-2144815.0,2010-11-11
188,  Mother's Day (I),2010,6.2,/title/tt1434435/,11000000.0,863044.0,-10136956.0,2011-05-05
189,  Kidnapped,2010,6.4,/title/tt1629377/,,969024.0,,2011-02-25
190,  Altitude,2010,4.8,/title/tt1407049/,,,,2010-10-10
191,  My Soul to Take,2010,4.7,/title/tt0872230/,25000000.0,21500813.0,-3499187.0,2010-10-08
192,  We Are the Night,2010,6.2,/title/tt1692504/,6760000.0,2405336.0,-4354664.0,2010-10-28
193,  Atrocious,2010,5,/title/tt1734067/,,4472.0,,2011-08-17
194,  Paranormal Activity 2,2010,5.7,/title/tt1536044/,3000000.0,177512032.0,174512032.0,2010-10-22
195,  Saw 3D,2010,5.5,/title/tt1477076/,20000000.0,136151680.0,116151680.0,2010-10-29
196,  Trollhunter,2010,6.9,/title/tt1740707/,1990000.0,5341098.0,3351098.0,2010-10-29
197,  Saint,2010,5.6,/title/tt1167675/,,3797890.0,,2011-12-18
198,  Don't Be Afraid of the Dark,2010,5.5,/title/tt1270761/,25000000.0,38269529.0,13269529.0,2011-08-26
199,  Victim (I),2010,5.9,/title/tt0918575/,1000000.0,,,2010-11-17
200,  Paranormal Activity 2: Tokyo Night,2010,5.1,/title/tt1728179/,,475320.0,,2010-11-20
201,  Gantz,2010,6.4,/title/tt1525835/,22000000.0,40568961.0,18568961.0,2011-01-29
202,  Beyond the Black Rainbow,2010,5.9,/title/tt1534085/,825000.0,56491.0,-768509.0,2011-04-22
203,  And Soon the Darkness,2010,5.1,/title/tt1391034/,,177182.0,,2017-03-27
204,  Dylan Dog: Dead of Night,2010,5.1,/title/tt1013860/,20000000.0,5782515.0,-14217485.0,2011-04-29
205,  Hobo with a Shotgun,2011,6.1,/title/tt1640459/,3000000.0,748453.0,-2251547.0,2011-05-12
206,  Silent House,2011,5.2,/title/tt1767382/,2000000.0,16527747.0,14527747.0,2012-03-09
207,  Red State,2011,6.1,/title/tt0873886/,4000000.0,1874460.0,-2125540.0,2011-09-30
208,  The Woman (I),2011,6,/title/tt1714208/,,1449.0,,2011-08-18
209,  Take Shelter,2011,7.3,/title/tt1675192/,5000000.0,3741098.0,-1258902.0,2011-11-10
210,  The Rite,2011,6,/title/tt1161864/,37000000.0,96560591.0,59560591.0,2011-01-28
211,  Quarantine 2: Terminal,2011,5.2,/title/tt1699231/,4000000.0,,,2011-06-17
212,  Husk,2011,5.1,/title/tt1504403/,382262.0,,,2011-11-24
213,  Seconds Apart,2011,5.6,/title/tt1601475/,,1137.0,,2011-07-07
214,  The Roommate (I),2011,4.8,/title/tt1265990/,16000000.0,40492652.0,24492652.0,2011-02-04
215,  The Resident,2011,5.3,/title/tt1334102/,20000000.0,6742156.0,-13257844.0,2011-03-11
216,  Absentia (I),2011,5.8,/title/tt1610996/,70000.0,8555.0,-61445.0,2013-04-11
217,  Red Riding Hood,2011,5.4,/title/tt1486185/,42000000.0,90260376.0,48260376.0,2011-03-11
218,  The Innkeepers,2011,5.5,/title/tt1594562/,750000.0,1178831.0,428831.0,2011-03-12
219,  Kill List,2011,6.4,/title/tt1788391/,605000.0,450275.0,-154725.0,2011-09-02
220,  The Divide,2011,5.8,/title/tt1535616/,3000000.0,145676.0,-2854324.0,2012-04-20
221,  Detention,2011,5.6,/title/tt1701990/,10000000.0,,,2012-04-13
222,  Hellraiser: Revelations,2011,2.7,/title/tt1716747/,350000.0,,,2011-10-18
223,  Scream 4,2011,6.2,/title/tt1262416/,40000000.0,97231420.0,57231420.0,2011-04-15
224,  The Caller,2011,6,/title/tt1525890/,,229746.0,,2013-02-22
225,  Grave Encounters,2011,6.1,/title/tt1703199/,75000.0,4055919.0,3980919.0,2011-09-09
226,  Priest,2011,5.7,/title/tt0822847/,60000000.0,78309505.0,18309505.0,2011-05-13
227,  Deadheads,2011,5.3,/title/tt1273207/,,,,2011-04-29
228,  Megan Is Missing,2011,4.6,/title/tt1087461/,,,,2011-05-25
229,  BloodRayne: The Third Reich,2011,3,/title/tt1153546/,10000000.0,,,2012-03-17
230,  Guilty of Romance,2011,6.8,/title/tt1743724/,,246091.0,,2011-11-12
231,  The Skin I Live In,2011,7.6,/title/tt1189073/,10403030.56,33716389.0,23313358.439999998,2011-09-02
232,  The Tunnel (I),2011,5.8,/title/tt1735485/,135000.0,1532.0,-133468.0,2011-05-19
233,  Hell,2011,5.9,/title/tt1643222/,,1359257.0,,2012-07-10
234,  Murder 2,2011,6.3,/title/tt1918965/,,9078349.0,,2011-07-08
235,  Retreat (I),2011,5.8,/title/tt1410051/,,4498.0,,2012-04-26
236,  Hollow (I),2011,5.4,/title/tt1869470/,,,,2013-02-19
237,  Final Destination 5,2011,5.9,/title/tt1622979/,40000000.0,157887643.0,117887643.0,2011-08-12
238,  Fright Night,2011,6.4,/title/tt1438176/,30000000.0,41002607.0,11002607.0,2011-08-19
239,  Vile,2011,4.9,/title/tt1711018/,,,,2012-07-24
240,  Panic Button,2011,5.3,/title/tt1727358/,363000.0,,,
241,  Inbred,2011,5.3,/title/tt1723124/,1512500.0,24.0,-1512476.0,2012-09-21
242,  Shark Night,2011,4,/title/tt1633356/,25000000.0,41363927.0,16363927.0,2011-09-02
243,  Apollo 18,2011,5.2,/title/tt1772240/,5000000.0,26236153.0,21236153.0,2011-09-02
244,  247°F,2011,4.8,/title/tt1877543/,650000.0,,,2011-09-01
245,  The Moth Diaries,2011,4.9,/title/tt1407065/,,413035.0,,2012-05-17
246,  Juan of the Dead,2011,6.4,/title/tt1838571/,,324834.0,,2012-01-13
247,  You're Next,2011,6.6,/title/tt1853739/,1000000.0,26895481.0,25895481.0,2013-08-23
248,  Livid,2011,5.7,/title/tt1727516/,2485600.0,,,2022-03-01
249,  Twixt,2011,4.7,/title/tt1756851/,7000000.0,647839.0,-6352161.0,2012-04-11
250,  Intruders (I),2011,5.4,/title/tt1634121/,10400000.0,5486559.0,-4913441.0,2011-10-07
251,  Lovely Molly,2011,5.3,/title/tt1707392/,1000000.0,638274.0,-361726.0,2012-06-29
252,  The Awakening (I),2011,6.4,/title/tt1687901/,3630000.0,6879667.0,3249667.0,2011-11-11
253,  The Day (I),2011,5.2,/title/tt1756799/,,80848.0,,2012-09-20
254,  The Hidden Face,2011,7.3,/title/tt1772250/,2600000.0,6318409.0,3718409.0,2011-09-16
255,  The Human Centipede 2 (Full Sequence),2011,3.8,/title/tt1530509/,,170323.0,,2011-11-25
256,  Sleep Tight,2011,7.2,/title/tt1437358/,5000000.0,8791590.0,3791590.0,2011-10-14
257,  The Monitor,2011,5.7,/title/tt1595833/,2500000.0,1417397.0,-1082603.0,2011-10-07
258,  The Thing (I),2011,6.2,/title/tt0905372/,38000000.0,31505287.0,-6494713.0,2011-10-14
259,  Apartment 143,2011,5,/title/tt1757742/,,4144297.0,,2012-05-04
260,  Paranormal Activity 3,2011,5.8,/title/tt1778304/,5000000.0,207039844.0,202039844.0,2011-10-21
261,  Beneath the Darkness,2011,4.5,/title/tt1781775/,7300000.0,23998.0,-7276002.0,2012-03-22
262,  11-11-11,2011,3.9,/title/tt1712159/,,6963872.0,,2011-11-03
263,  The Cabin in the Woods,2011,7,/title/tt1259521/,30000000.0,70038838.0,40038838.0,2012-04-13
264,  The Darkest Hour,2011,4.9,/title/tt1093357/,30000000.0,64626786.0,34626786.0,2011-12-25
265,  The Devil Inside,2012,4.2,/title/tt1560985/,1000000.0,101758490.0,100758490.0,2012-01-06
266,  Sand Sharks,2012,2.6,/title/tt1844770/,,,,2012-07-31
267,  Elevator (V),2012,5.3,/title/tt1728975/,200000.0,14221.0,-185779.0,2012-01-20
268,  Underworld: Awakening,2012,6.3,/title/tt1496025/,70000000.0,160112671.0,90112671.0,2012-01-20
269,  The Pact (II),2012,5.7,/title/tt2040560/,400000.0,5664404.0,5264404.0,2012-06-08
270,  Black Rock,2012,4.8,/title/tt1930294/,,175682.0,,2013-05-17
271,  Excision,2012,6.1,/title/tt1984153/,,2757.0,,2012-11-02
272,  V/H/S,2012,5.8,/title/tt2105044/,242000.0,1944287.0,1702287.0,2012-09-06
273,  Grabbers,2012,6.3,/title/tt1525366/,4840000.0,427335.0,-4412665.0,2012-08-10
274,  John Dies at the End,2012,6.3,/title/tt1783732/,,141951.0,,2012-12-27
275,  The Woman in Black,2012,6.4,/title/tt1596365/,17000000.0,128955898.0,111955898.0,2012-02-03
276,  Thale,2012,5.5,/title/tt2112287/,1200000.0,296500.0,-903500.0,2012-02-17
277,  Berserk: The Golden Age Arc I - The Egg of the King,2012,7.5,/title/tt2210479/,,2152610.0,,2012-04-26
278,  ATM (I),2012,4.7,/title/tt1603257/,3000000.0,921752.0,-2078248.0,2012-03-02
279,  [REC] 3: Genesis,2012,5,/title/tt1649444/,6400000.0,11019975.0,4619975.0,2012-03-30
280,  Citadel (I),2012,5.4,/title/tt1641975/,,141886.0,,2013-03-01
281,  Sinister (I),2012,6.8,/title/tt1922777/,3000000.0,82515113.0,79515113.0,2012-10-12
282,  Evidence (III),2012,5,/title/tt1640218/,12464.0,,,2012-09-27
283,  The Tall Man,2012,5.9,/title/tt1658837/,15600000.0,7462847.0,-8137153.0,2012-09-05
284,  In Their Skin,2012,5.3,/title/tt1790869/,4000000.0,106919.0,-3893081.0,2012-11-09
285,  Resolution (III),2012,6.3,/title/tt1977895/,,,,2013-01-23
286,  Outpost: Black Sun,2012,4.9,/title/tt1418712/,3000000.0,,,
287,  Dark Shadows,2012,6.2,/title/tt1077368/,150000000.0,245527149.0,95527149.0,2012-05-11
